numMintedSecondaryEvents,numSNXHolders,numsUSDHolders
4140,2649,2647

account,totalDeposited,SNX,sUSD
0x784f99e298604199B0bE861B3e61dC63ECf82D72,34.993114780338397682,0.0,0.0
0x1eefbe8AFfc70649E09739aCF7d21BA40f1072d7,46.984,0.0,0.0
0x9f56D623e81a044A7D436Bd7e244ceECa1290a79,244.0,0.0,0.0
0xbcBE92712d4b4D99b7cdeeD533141fd323820375,1810.917071417271822382,1603.015071417271822382,6370.64004868705724042
0x63fDc8dfE93EF407538CE90aad391A56CA45d798,520.0,0.0,0.0
0xE1f2fefC28864139900BDa05965060ccd8f00Cf3,333.390059390268966672,13.452661905183828549,0.0
0xDeFc925DD7d7Be4e538fE320CbA30673caB9566e,138.7815206596171486,0.0,0.0
0xAb7149391d1f620aBB415eb9f2f48d211235Bc96,119.8780759,0.0,0.0
0xefb263f9b862eb538aD980f5A2b2331cC70053C2,23.821479,0.0,0.0
0xF053aDb5D6310219f84B5792db23a4feD3C25d57,298.064808463963995296,0.0,0.0
0xB9cbAd40AE8a6514A58f5cDb20FFAB3f255E536f,425.747531,0.0,0.0
0x41c0F529F559c6A3ddc324Cd86A6D0c75b50c949,120.361975445299775839,0.0,0.0
0x1f72b8E6Bbd61936949A5D933420BE193B77c663,696.292427227277917706,0.0,0.0
0xc24e9E7983d158c6A715262aa1662F4683A4Ae84,1700.0,0.0,0.0
0xc7549f3A48bB48c17905Df38749072e2775DbC39,553.589262004130016996,206.706855604162194859,694.224751811816082181
0x6Fc27a66251811194dFd6C841592Ae40cD50D9ae,130.661005331903582245,25.826785331903582245,91.844626864692324535
0x223089Dd7A1a45dfA41f1EF70532F2C9a5399054,3000.0,2000.0,6290.66666666666697
0x7Dcc2Fe0ae751A094AC2ce5632ac38f0754729b3,413.861,0.0,0.0
0xf48858D49ffDE429E7FB37FBAD12898b181ce434,1505.392961172284923251,0.0,0.0
0x11CAB0569Da4745E0Bc90A72Cc0de48652E2c680,1024.69569531328895422,943.895864095420179891,3367.392332055654770604
0x17f44A8749358AD30A84087EF9C92bDd2E28d9E0,332.88,0.0,0.0
0x921D58c0cc78AaF04652ff28e68F66D15aC7b73e,3012.0,2460.0,8000.0
0xc261C07d5ff6b7A8444BB09D4D5BD1E2060b3c7C,135.8,0.0,0.0
0xafa306dBB13Beb550511FFbd304D97461E71603c,4376.649719521600753924,4326.170374941600753924,14539.623609288037855731
0x4F216D2f524588D7D2bA723A8061A4994218c9AD,282.143882966107740973,0.0,0.0
0x6FdB3079927F4aeb4c77969B10B79129C196b4Ab,150.0,100.0,287.849999999999998848
0xF6BE5b79F2c702506dfb6F304974D25571E4a6aa,339.8,0.0,0.0
0x61f8c091757879Af0E6B46F71672CA6D9fa28AbC,1214.24940865,695.42887996,2344.022079831381545795
0x5a05F8c935Bb4F2b0bE459528934cD5545818144,216.589855159921465463,198.74,700.391673046627498006
0x54eAe19bc53FF447505685E9F3935770ba2e7f37,61.01212,0.0,0.0
0x7236F488df9cEfae8158e5AD50ECB9A78FBC601c,158.328816,0.0,0.0
0xA90216C7D3Cc4015d63287821Ce30caE9D9adC9A,603.254938346745438248,0.0,0.0
0x47865bbCcE42B908177E2535f9a7AFdEC415Cb4b,100.3988,0.0,0.0
0xaC0a902eaeB1b99429450B3A96f1FC051B9D3956,101.64227191999999,0.0,0.0
0xd43f3716CbB9386352880a9BD52f7F07aC01752B,436.744504308435173648,0.0,0.0
0xF3148f8F0286DDf2594b70fA44695FE085075BcD,1844.05,0.0,0.0
0x9F0A484639f84AaDd78B4e869CDeE22e43Fc8Ed9,96.289913853398988895,0.0,0.0
0x6C62094A446a19401A6ef4aacB53B37272F205F3,159.67,0.0,0.0
0x4eD7A3Cdb17c9a3363b5c6F5AAF981EE2DfF43f9,159.148604798168568261,0.0,0.0
0xBc8cc8B1Fee0ED52deA5ACdfD0002C2A679FF13a,54.11602856579044743,0.0,0.0
0xC838c7462C2f5E72ad91997666745edAa0533934,944.55077,0.0,0.0
0x00B44F149dDB22209Db070DA0Bca4bb01A6E555C,940.0,625.0,2043.644489462914875457
0xD3CbB018f4036C4dB48F7a268Df909940399f577,428.469816559272125846,0.0,0.0
0x9c2006298a2a5Be1EFFF06b81f4C564a7F2358a2,22.242319454170248174,0.0,0.0
0x95420C8F22c95E94F0c443d4c075B819644014b0,266.64480342,144.963,420.874598760130956957
0x84E3178A05cf8c411bb9F0cd41a0cEB3352F60A0,56.50116,0.0,0.0
0xA5403cECD0F4Ffd25B5b86BCF1d2b8FD5CF7474d,1154.875014794783890086,0.0,0.0
0x23089D4483FA2aa6AF740A6F9ecF39d8441859bc,378.580938614841785498,193.029005209772897528,627.952866433501646552
0x308DcACa32B14eb73553872d524ffEFD5C5Eff0a,521.114890969250303656,0.0,0.0
0x32ffC2374fA900FDe59D7B7388Bb4a9A9Dbe6123,152.30771687197439867,100.0,200.0
0x5F723856AC7E6f6292473730449E79F483909867,1047.614451956602398039,0.0,0.0
0xe0654ABC5FB4917AC59237F8B9f75316982cF0bf,209.2,0.0,0.0
0x1b3c25DA384dC6D1572ADB0C29935bf562C5706c,196.934179832486986462,0.0,0.0
0xa9902F53813bFa00b22937913a1DD7c4867D4166,306.821586494007129342,248.107108494007129342,809.741967944089270997
0x46b78fF72bbE78401E98f8172DbfD382C5C3D056,2168.354553575551815804,0.0,0.0
0x9a376C8e244CDBB07eb7856DA3cAC7f5794b58fA,1000.0,0.0,0.0
0x24e445fe7708Bf4bC2ae8d4df1694C98Af8BDE4F,1193.233586320616994829,942.598331194034044317,3457.33189834177029174
0xb96182A4F708949F0263Eae69e04A66836C319A6,27.782615041352026682,37.815203277757891988,152.593976975491503092
0x573b8502bda0C67FC12c7029941D355d618330F5,320.027,0.0,0.0
0xfb9CC0c596a37dFdC2aa86918f3cfeE94bdDC48D,506.117249,0.0,0.0
0x67C8Db836b46e61804A744478Bdc7D3804782577,265.145349896667897662,0.0,0.0
0x35c610124F469593469A025d712Adc13F819fa54,246.464768,0.0,0.0
0xCF207A13eBd2AE54835044872102736Abc0ccAC7,253.12,0.0,0.0
0x003d071581978D3AEA28faf82947dB95fbbA285b,500.0,0.0,0.0
0x4F58BC39476aA9E5be7127C9Ea80a7DA917578d9,2150.734,0.0,0.0
0xE586d0666f6A5C5B6a5a6A607152eD7f7f1fC376,290.6523730572768,0.0,0.0
0xD15F47c16BD277ff2dee6a0bD4e418165231CB69,4003.171756101207183909,0.0,0.0
0x7E508DC225bfAC9D390D6D3F5089C1ff93f239eD,5200.20303109,0.0,0.0
0x9c5083dd4838E120Dbeac44C052179692Aa5dAC5,19125.231516909958856963,0.0,0.0
0xCCE56EdD5e4594AadE98E84d3FE6a64e13a6D073,2508.780752319692536338,1445.458540619734985068,5051.0
0xB6e69C51b46703Eb68E05097bc27Fb270Bb8C1d5,1685.257174278612933577,1299.999451,4533.169093824533151113
0x6D6b526e1C37e12F0E66975cd3A1AE35344CBb29,1225.051157,0.0,0.0
0x177b13f1bF13dBa858dc633e4f6b525144b02ee7,3238.761911406304576397,0.0,0.0
0xaa051E49767e1e899574E3EbcaaeD237f2F67a0A,1332.220203516280928131,0.0,0.0
0xe1E7106A790017185ECa0731301bfB7c571aF7c1,1027.737969646383373504,0.0,0.0
0x769a1ef6FBfa918d685ba02F3c2E45CFB902EBF7,689.458761825006269131,45.344431614888156655,154.835809617723138735
0x7BB24F9ae8843590FABF42e049577e2ba68AFa0E,103.615617565544164873,0.0,0.0
0xD08F90FAE1Ca79EF29476b901ec2c70Cd2E53878,103.27578613365473026,0.0,0.0
0x6543D3d2336F850bb28589A410d23139D1B0749a,684.095134907299803943,0.0,0.0
0x3B5465ccD4D8D8eaA10343E1D6bb3caCc31FA369,233.933290079780514675,105.154911109780514675,257.282496546698228459
0x0D703ccD7DeBd7f6F4B0fFB29d2d710D19b09025,357.445254900937441605,118.881738900937441605,433.167514861273113941
0x620E94424fBB5C6004Df7bb9a7A13DE58494A5A3,900.0,0.0,0.0
0x5b47b64B852354de153ff36C372Ec8EC6550F8D7,109.078263186591127668,0.0,0.0
0xBbbbEd03131f83D2ABA099CDd3631280E51f6978,3598.210024940617184519,0.0,0.0
0x6719dC6C087eC40261BF08AC1286Fa4CEeb6c925,66.333,0.0,0.0
0x7C1908d49266Ba2999C41b07B0895c33821F53A9,14531.719363158569544182,0.0,0.0
0x1fb10dC9905C83a3Ca12e53B14FBa7E1a57e3ceb,240.120173155499295439,0.0,0.0
0x674E301c1065A3F990b708d0f92391B0C65E4185,206.358444822175986272,129.25,333.0
0x39c26A0eE9A5Eac8646C26cF1BC5b4264Ba9B017,447.39115419,0.0,0.0
0xf9815a579Cbc8f1C2c52EB93c99B168246AE3334,1537.430356590806738393,0.0,0.0
0x9209d23Ec84202dD616324adDf58Faa36F7830C9,9597.478902751797458567,120.204936477268989506,427.185030623151588657
0x4511BbeF15bC4aBB8c19283918222bbA9b024b9c,47.849406306578101754,0.0,0.0
0x4745e8FbA927AAFF0eC90c3Dc1FEF05A4c4A02FD,150.785283828113088154,100.985383828113088154,320.0
0xa61301A5199671aB6C5d2E21c718fdDBDAB778E3,51.821447263064099174,0.0,0.0
0x1373A0b96016c544EFA10701F9C0814f6b7dbB89,2.190452549782144692,0.0,0.0
0xE7e5158E4675055B0d282413BBc01012d56C8518,128.958576072440636675,124.009896072440636675,422.199929117153334574
0x329e20FFc2e15209d36ad22cA6d9070160337Ce0,138.458099,0.0,0.0
0xbaA84e6A9E66fA0846931c6bf79e8c2763b50b9d,2160.122112700407853338,0.0,0.0
0xa5Ca2fADAc1F9f2d78711043A4fAA1324E10f16E,578.592178223747371331,0.0,0.0
0xd5175BaC40fc20d7949e3Cc918436440AB6e93eF,5515.397955370083232372,0.0,219.446697071521040758
0x7780E86699e941254c8f4D9b7eB08FF7e96BBE10,667.484474898362074926,630.629007997178854835,2089.614236861862785942
0x1fF034901dbEe276aF5f75DbA762C3aeB59784D8,108.326903344769532805,0.0,0.0
0xf797485cC069a3910cD5d0eB5E168eEB9e8b8b1b,566.987210371858027501,53.752104307077883704,190.019539830531022156
0x4C621F970dcCA64e6776aC9c7FD73BAED2f3215F,198.436893,0.0,0.0
0xc9d922828887b42f8Cb62FaBCa22FDEE01d28fD9,49.248720347423941243,0.0,0.0
0xfF53322917B756fe180104aFC965d2B9aDe697eB,2000.0,0.0,0.0
0xe6bEdf2d09c2d5123aF618290B001F99daD6d89e,18874.787841876362693894,0.0,0.0
0x6E6aBB4a0b481781f38f2C61ad46396791324567,179.145560910674263446,0.0,0.0
0xf0692d3344987619906F9299c4E0f8F43312dB16,1834.0,0.0,0.0
0xA8f443627081d5d2E1774462F338e5031AC86Bd1,226.256958099313173057,0.0,0.0
0x9ef44C6f60eAe666407F5638C24572AB22dA2862,559.024927200786843123,0.0,0.0
0x18d3f37C57aCc38557607961451E15C6E8306cCd,110.628278,0.0,0.0
0x78Cc52e2F89c5471014778A68B983571f7622a8a,1599.43,0.0,0.0
0x1905C1e4278d34920Fbd4a479B8f5D51EA065b3D,1000.009605994762862971,0.0,0.0
0xFCb761Bacf1D4a8f3a3FcD5F94d5EDFEAb2E58F7,0.00000000000000001,0.000000000000000009,0.000000000000000001
